DATE,OPEN,HIGH,LOW,CLOSE,MARKET CAP,STATUS,VALUE
24-Apr-17,1209.63,1250.94,1209.63,1250.15,"19,705,400,000",0.033497846,1
23-Apr-17,1231.92,1232.2,1203.94,1207.21,"20,066,200,000",-0.020058121,0
22-Apr-17,1222.71,1235.56,1208.47,1231.71,"19,913,900,000",0.007360699,1
21-Apr-17,1229.42,1235.94,1215.56,1222.05,"20,020,700,000",-0.005994697,0
20-Apr-17,1211.08,1240.79,1208.41,1229.08,"19,719,900,000",0.014862767,1
19-Apr-17,1212.13,1215.51,1205.08,1210.29,"19,734,800,000",-0.001517989,0
18-Apr-17,1193.77,1217.57,1193.77,1211.67,"19,433,800,000",0.014994513,1
17-Apr-17,1183.25,1194.9,1172.65,1193.91,"19,260,500,000",0.009009085,1
16-Apr-17,1172.61,1187.22,1172.61,1182.94,"19,085,100,000",0.008809408,1
15-Apr-17,1167.3,1188,1164.96,1172.52,"18,996,500,000",0.004471858,1
14-Apr-17,1170.33,1190.8,1159.79,1167.54,"19,043,800,000",-0.002383943,0
13-Apr-17,1201.02,1205.89,1156.44,1169.28,"19,541,300,000",-0.026427537,0
12-Apr-17,1204.81,1207.14,1196.76,1200.37,"19,600,800,000",-0.003685228,0
11-Apr-17,1187.46,1208.07,1187.46,1205.01,"19,316,000,000",0.014779445,1
10-Apr-17,1187.3,1190.34,1179.04,1187.13,"19,311,200,000",-0.000143182,0
9-Apr-17,1176.57,1197.21,1171.86,1187.87,"19,134,400,000",0.009604188,1
8-Apr-17,1172.65,1184.98,1162.58,1175.95,"19,068,600,000",0.002814139,1
7-Apr-17,1178.94,1186.58,1163.39,1176.9,"19,168,500,000",-0.001730368,0
6-Apr-17,1125.81,1188.37,1125.81,1182.68,"18,302,600,000",0.05051474,1
5-Apr-17,1134.14,1135.09,1113.63,1124.78,"18,435,700,000",-0.008252949,0
4-Apr-17,1145.52,1156.44,1120.52,1133.25,"18,619,000,000",-0.010711293,0
3-Apr-17,1102.95,1151.74,1102.95,1143.81,"17,924,600,000",0.037046104,1
2-Apr-17,1080.61,1107.59,1075.45,1102.17,"17,559,400,000",0.019951694,1
1-Apr-17,1071.71,1091.72,1061.09,1080.5,"17,413,000,000",0.008201846,1
31-Mar-17,1026.64,1074.92,1026.64,1071.79,"16,679,000,000",0.043978415,1
